,mean,sd,hpd_3%,hpd_97%
αTJ[14],0.643,0.148,0.375,0.9
αTJ[15],0.616,0.136,0.352,0.854
αTJ[16],0.319,0.091,0.151,0.486
αTJ[17],0.609,0.131,0.373,0.849
αTJ[18],0.224,0.095,0.068,0.406
αTJ[19],0.386,0.131,0.154,0.634
αTJ[20],0.653,0.128,0.424,0.884
αTJ[21],0.623,0.129,0.405,0.866
αTJ[22],0.602,0.139,0.369,0.884
αTJ[23],0.601,0.142,0.36,0.866
αTJ[24],0.355,0.103,0.175,0.547
αTJ[25],0.367,0.097,0.188,0.544
αTJ[26],0.26,0.105,0.077,0.461
αTJ[27],0.595,0.136,0.326,0.821
αTJ[28],0.589,0.141,0.327,0.837
αTJ[29],0.455,0.141,0.179,0.698
αTJ[30],0.53,0.152,0.228,0.79
αTJ[31],0.708,0.138,0.447,0.932
αTJ[32],0.603,0.13,0.362,0.824
αTJ[33],0.337,0.118,0.125,0.556
αTJ[34],0.364,0.139,0.115,0.599
αTJ[35],0.448,0.129,0.215,0.686
αTJ[36],0.518,0.141,0.233,0.747
αTJ[37],0.431,0.117,0.244,0.675
αTJ[38],0.651,0.13,0.418,0.874
αTJ[39],0.322,0.118,0.119,0.534
αTJ[40],0.48,0.144,0.231,0.761
αTJ[41],0.474,0.106,0.285,0.678
αTJ[42],0.458,0.139,0.199,0.701
αTJ[43],0.616,0.133,0.36,0.848
αTJ[44],0.737,0.141,0.489,0.966
αTJ[45],0.646,0.133,0.41,0.89
αTJ[46],0.633,0.133,0.397,0.886
αTJ[47],0.35,0.119,0.143,0.567
αTJ[48],0.595,0.137,0.348,0.853
αTJ[49],0.594,0.136,0.341,0.824
αTJ[50],0.683,0.143,0.413,0.929
αTJ[51],0.456,0.134,0.215,0.713
αTJ[52],0.568,0.16,0.294,0.856
αTJ[53],0.546,0.133,0.275,0.762
αTJ[54],0.682,0.137,0.441,0.931
αTJ[55],0.243,0.114,0.059,0.442
αTJ[56],0.606,0.14,0.34,0.84
αTJ[57],0.573,0.138,0.331,0.839
αTJK[0],0.759,0.163,0.452,0.984
αTJK[1],0.082,0.015,0.056,0.111
αTJK[2],0.782,0.151,0.488,0.987
αTJK[3],0.042,0.01,0.024,0.059
αTJK[4],0.109,0.02,0.071,0.143
αTJK[5],0.744,0.15,0.458,0.971
αTJK[6],0.037,0.009,0.023,0.054
αTJK[7],0.575,0.125,0.348,0.8
αTJK[8],0.762,0.159,0.459,0.986
αTJK[9],0.758,0.161,0.46,0.982
αTJK[10],0.027,0.01,0.01,0.047
αTJK[11],0.012,0.011,0.001,0.031
αTJK[12],0.116,0.021,0.081,0.153
αTJK[13],0.548,0.152,0.26,0.819
αTJK[14],0.007,0.009,0.0,0.018
αTJK[15],0.771,0.156,0.474,0.983
αTJK[16],0.09,0.018,0.062,0.127
αTJK[17],0.572,0.205,0.208,0.914
αTJK[18],0.061,0.015,0.036,0.089
αTJK[19],0.033,0.014,0.013,0.061
αTJK[20],0.777,0.146,0.51,0.984
αTJK[21],0.717,0.165,0.412,0.972
αTJK[22],0.026,0.009,0.012,0.043
αTJK[23],0.748,0.151,0.459,0.969
αTJK[24],0.391,0.101,0.222,0.589
αTJK[25],0.508,0.271,0.072,0.957
αTJK[26],0.055,0.011,0.038,0.076
αTJK[27],0.783,0.147,0.511,0.988
αTJK[28],0.429,0.128,0.206,0.674
αTJK[29],0.021,0.018,0.002,0.052
αTJK[30],0.062,0.013,0.04,0.086
αTJK[31],0.088,0.015,0.064,0.12
αTJK[32],0.58,0.13,0.346,0.818
αTJK[33],0.092,0.03,0.04,0.147
αTJK[34],0.092,0.017,0.063,0.125
αTJK[35],0.426,0.276,0.012,0.898
αTJK[36],0.041,0.01,0.025,0.059
αTJK[37],0.095,0.018,0.062,0.13
αTJK[38],0.76,0.154,0.462,0.981
αTJK[39],0.018,0.017,0.001,0.046
αTJK[40],0.018,0.012,0.004,0.04
αTJK[41],0.788,0.154,0.488,0.986
αTJK[42],0.051,0.01,0.031,0.069
αTJK[43],0.577,0.157,0.304,0.874
αTJK[44],0.755,0.157,0.478,0.979
αTJK[45],0.375,0.087,0.217,0.531
αTJK[46],0.773,0.158,0.47,0.984
αTJK[47],0.581,0.265,0.132,0.98
αTJK[48],0.751,0.165,0.448,0.986
αTJK[49],0.741,0.158,0.442,0.974
αTJK[50],0.038,0.01,0.022,0.057
αTJK[51],0.028,0.008,0.015,0.044
αTJK[52],0.103,0.026,0.055,0.148
αTJK[53],0.563,0.28,0.105,0.987
αTJK[54],0.794,0.145,0.51,0.983
αTJK[55],0.061,0.019,0.031,0.097
αTJK[56],0.627,0.137,0.341,0.844
αTJK[57],0.779,0.152,0.483,0.985
