,mean,sd,hpd_3%,hpd_97%
αDE[59],0.528,0.115,0.305,0.735
αDE[60],0.491,0.099,0.309,0.671
αDE[61],0.121,0.047,0.047,0.206
αDE[62],0.816,0.137,0.554,0.99
αDE[63],0.143,0.042,0.062,0.212
αDE[64],0.564,0.117,0.343,0.763
αDE[65],0.623,0.132,0.38,0.856
αDE[66],0.155,0.047,0.071,0.242
αDEF[0],0.542,0.235,0.155,0.945
αDEF[1],0.711,0.151,0.432,0.941
αDEF[2],0.023,0.009,0.009,0.041
αDEF[3],0.795,0.152,0.506,0.99
αDEF[4],0.399,0.201,0.069,0.751
αDEF[5],0.585,0.165,0.3,0.877
αDEF[6],0.507,0.224,0.121,0.894
αDEF[7],0.76,0.152,0.487,0.98
αDEF[8],0.64,0.194,0.299,0.973
αDEF[9],0.533,0.19,0.194,0.861
αDEF[10],0.32,0.173,0.047,0.655
αDEF[11],0.547,0.209,0.185,0.916
αDEF[12],0.136,0.1,0.01,0.327
αDEF[13],0.635,0.168,0.339,0.921
αDEF[14],0.699,0.184,0.346,0.964
αDEF[15],0.709,0.186,0.354,0.972
αDEF[16],0.392,0.201,0.067,0.765
αDEF[17],0.044,0.013,0.024,0.069
αDEF[18],0.629,0.206,0.239,0.947
αDEF[19],0.01,0.008,0.001,0.022
αDEF[20],0.594,0.143,0.327,0.839
αDEF[21],0.511,0.208,0.104,0.841
αDEF[22],0.783,0.142,0.519,0.978
αDEF[23],0.714,0.195,0.328,0.988
αDEF[24],0.786,0.151,0.502,0.985
αDEF[25],0.388,0.141,0.116,0.64
αDEF[26],0.594,0.216,0.212,0.956
αDEF[27],0.007,0.008,0.0,0.017
αDEF[28],0.31,0.165,0.033,0.598
αDEF[29],0.689,0.186,0.346,0.967
αDEF[30],0.789,0.155,0.49,0.988
αDEF[31],0.452,0.225,0.052,0.836
αDEF[32],0.077,0.022,0.043,0.121
αDEF[33],0.692,0.163,0.384,0.944
αDEF[34],0.042,0.013,0.02,0.064
αDEF[35],0.549,0.114,0.34,0.756
αDEF[36],0.542,0.114,0.331,0.748
αDEF[37],0.383,0.141,0.133,0.646
αDEF[38],0.761,0.168,0.443,0.99
αDEF[39],0.632,0.139,0.391,0.879
αDEF[40],0.385,0.177,0.075,0.69
αDEF[41],0.635,0.217,0.253,0.966
αDEF[42],0.471,0.249,0.033,0.868
αDEF[43],0.637,0.178,0.317,0.936
αDEF[44],0.572,0.199,0.211,0.907
αDEF[45],0.399,0.175,0.102,0.742
αDEF[46],0.792,0.141,0.529,0.983
αDEF[47],0.78,0.157,0.462,0.979
αDEF[48],0.748,0.176,0.409,0.986
αDEF[49],0.22,0.121,0.045,0.468
αDEF[50],0.087,0.039,0.028,0.162
αDEF[51],0.633,0.208,0.257,0.966
αDEF[52],0.789,0.157,0.495,0.991
αDEF[53],0.601,0.206,0.248,0.957
αDEF[54],0.793,0.15,0.507,0.988
αDEF[55],0.695,0.202,0.298,0.97
αDEF[56],0.759,0.15,0.469,0.971
αDEF[57],0.794,0.143,0.524,0.99
