,mean,sd,hpd_3%,hpd_97%
αM[24],0.561,0.173,0.244,0.867
αM[25],0.033,0.026,0.004,0.079
αM[26],0.531,0.188,0.182,0.845
αM[27],0.006,0.007,0.0,0.018
αM[28],0.087,0.04,0.029,0.159
αM[29],0.076,0.026,0.034,0.126
αM[30],0.626,0.183,0.293,0.94
αM[31],0.05,0.021,0.014,0.088
αM[32],0.048,0.018,0.017,0.079
αM[33],0.593,0.191,0.24,0.908
αM[34],0.002,0.003,0.0,0.006
αM[35],0.426,0.163,0.168,0.76
αM[36],0.623,0.19,0.279,0.942
αM[37],0.023,0.017,0.002,0.053
αM[38],0.634,0.174,0.306,0.922
αM[39],0.429,0.21,0.092,0.81
αM[40],0.369,0.138,0.136,0.63
αM[41],0.559,0.185,0.25,0.899
αM[42],0.447,0.257,0.02,0.865
αM[43],0.602,0.183,0.289,0.938
αM[44],0.023,0.026,0.001,0.069
αM[45],0.018,0.018,0.001,0.044
αM[46],0.589,0.173,0.265,0.887
αM[47],0.636,0.185,0.313,0.948
αM[48],0.623,0.186,0.303,0.941
αM[49],0.095,0.052,0.025,0.2
αM[50],0.004,0.006,0.0,0.012
αM[51],0.528,0.168,0.231,0.836
αM[52],0.541,0.182,0.213,0.841
αM[53],0.28,0.179,0.021,0.62
αM[54],0.61,0.18,0.277,0.905
αM[55],0.01,0.013,0.0,0.03
αM[56],0.649,0.18,0.327,0.937
αM[57],0.649,0.182,0.306,0.938
αM[58],0.029,0.016,0.007,0.054
αM[59],0.627,0.187,0.298,0.951
αM[60],0.534,0.174,0.228,0.849
αM[61],0.041,0.016,0.015,0.07
αM[62],0.05,0.035,0.009,0.116
αM[63],0.281,0.14,0.044,0.524
αM[64],0.633,0.18,0.314,0.945
αM[65],0.439,0.174,0.13,0.75
αM[66],0.57,0.178,0.28,0.919
αN[0],0.206,0.04,0.138,0.282
αN[1],0.156,0.02,0.121,0.195
αN[2],0.013,0.015,0.0,0.041
αN[3],0.767,0.141,0.497,0.966
αN[4],0.037,0.021,0.007,0.072
αN[5],0.008,0.012,0.0,0.028
αN[6],0.064,0.02,0.028,0.098
αN[7],0.677,0.149,0.398,0.914
αN[8],0.421,0.181,0.102,0.752
αN[9],0.795,0.141,0.536,0.986
αN[10],0.04,0.013,0.016,0.064
αN[11],0.314,0.083,0.174,0.475
αN[12],0.071,0.018,0.039,0.104
αN[13],0.684,0.16,0.367,0.932
αN[14],0.805,0.137,0.559,0.986
αN[15],0.841,0.139,0.569,0.994
αN[16],0.135,0.022,0.098,0.181
αN[17],0.02,0.016,0.002,0.045
αN[18],0.021,0.014,0.003,0.045
