ID,Stimulus,trialseq,DV,R,s,T,u,R_abs,T_abs,US,Test
105,Rs,3,4.901234442,1,1,0,0,0,0,0,1
105,s,4,2.971193541,0,1,0,0,1,0,1,1
105,Rs,5,4.592592467,1,1,0,0,0,0,1,1
105,s,6,1.53909465,0,1,0,0,1,0,0,1
105,s,7,2.954732573,0,1,0,0,1,0,0,1
105,Rs,8,4.547325354,1,1,0,0,0,0,1,1
105,Rs,9,4.827160871,1,1,0,0,0,0,1,1
105,s,10,1.559670782,0,1,0,0,1,0,0,1
105,s,11,3.876543335,0,1,0,0,1,0,1,1
105,Rs,12,4.534979549,1,1,0,0,0,0,1,1
105,s,13,4.090534979,0,1,0,0,1,0,0,1
105,Rs,14,4.604938272,1,1,0,0,0,0,1,1
105,s,15,2.979423868,0,1,0,0,1,0,0,1
105,Rs,16,4.691358276,1,1,0,0,0,0,1,1
105,s,17,1.444444476,0,1,0,0,1,0,1,1
105,Rs,18,4.930041529,1,1,0,0,0,0,1,1
105,s,19,1.395061728,0,1,0,0,1,0,0,1
105,Rs,20,4.559671159,1,1,0,0,0,0,0,1
105,Rs,21,4.765432476,1,1,0,0,0,0,0,1
105,s,22,4.234567901,0,1,0,0,1,0,0,1
105,Rs,23,2.995884836,1,1,0,0,0,0,1,1
105,s,24,3.008230641,0,1,0,0,1,0,0,1
105,Tu,25,4.09876562,0,0,1,1,0,0,0,1
105,Tu,26,4.559671159,0,0,1,1,0,0,1,1
105,u,27,2.975308705,0,0,0,1,0,1,0,1
105,u,28,1.395061728,0,0,0,1,0,1,1,1
105,Tu,29,4.551440204,0,0,1,1,0,0,1,1
105,u,30,1.477366255,0,0,0,1,0,1,0,1
105,u,31,4.345678887,0,0,0,1,0,1,1,1
105,Tu,32,2.995884836,0,0,1,1,0,0,1,1
105,Tu,33,4.493827286,0,0,1,1,0,0,1,1
105,Tu,34,4.514403418,0,0,1,1,0,0,1,1
105,u,35,2.934156441,0,0,0,1,0,1,0,1
105,u,36,1.374485597,0,0,0,1,0,1,0,1
105,u,37,4.625514403,0,0,0,1,0,1,0,1
105,Tu,38,4.70370408,0,0,1,1,0,0,1,1
105,u,39,3.024691295,0,0,0,1,0,1,0,1
105,Tu,40,4.691358276,0,0,1,1,0,0,0,1
105,u,41,3.020576132,0,0,0,1,0,1,0,1
105,u,42,1.32921817,0,0,0,1,0,1,0,1
105,Tu,43,4.650206012,0,0,1,1,0,0,1,1
105,Tu,44,4.621399554,0,0,1,1,0,0,1,1
105,u,45,4.493827286,0,0,0,1,0,1,1,1
105,Tu,46,4.650206012,0,0,1,1,0,0,1,1
105,Tu,47,4.604938272,0,0,1,1,0,0,0,1
105,u,48,4.666666667,0,0,0,1,0,1,0,1
105,u,49,2.925926114,0,0,0,1,0,1,1,1
105,Rs,50,4.58436214,1,1,0,0,0,0,0,1
105,Tu,51,4.63374473,0,0,1,1,0,0,1,1
105,s,52,1.423868344,0,1,0,0,1,0,0,1
105,Rs,53,4.70370408,1,1,0,0,0,0,1,1
105,u,54,2.983539032,0,0,0,1,0,1,0,1
105,s,55,4.674896994,0,1,0,0,1,0,0,1
105,Tu,56,4.711934408,0,0,1,1,0,0,1,1
105,Rs,57,3.004115164,1,1,0,0,0,0,1,1
105,u,58,3.004115164,0,0,0,1,0,1,0,1
105,u,59,4.600823422,0,0,0,1,0,1,0,1
105,Rs,60,2.975308705,1,1,0,0,0,0,1,1
105,s,61,2.975308705,0,1,0,0,1,0,1,1
105,Tu,62,4.683127949,0,0,1,1,0,0,1,1
105,s,63,3.020576132,0,1,0,0,1,0,0,1
105,Tu,64,4.736625389,0,0,1,1,0,0,0,1
105,T,65,3.049382904,0,0,1,0,0,0,0,0
105,Rs,66,4.711934408,1,1,0,0,0,0,0,0
105,R,67,3.090535168,1,0,0,0,0,0,0,0
105,Ru,68,4.641975685,1,0,0,1,0,0,0,0
105,Ts,69,4.625514403,0,1,1,0,0,0,0,0
105,u,70,2.995884836,0,0,0,1,0,1,0,0
105,Tu,71,4.740740866,0,0,1,1,0,0,0,0
105,s,72,3.016460968,0,1,0,0,1,0,0,0
105,u,73,3.008230641,0,0,0,1,0,1,0,0
105,s,74,2.987654509,0,1,0,0,1,0,0,0
105,Tu,75,4.63374473,0,0,1,1,0,0,0,0
105,R,76,1.304526718,1,0,0,0,0,0,0,0
105,Ts,77,4.547325354,0,1,1,0,0,0,0,0
105,Rs,78,4.679012471,1,1,0,0,0,0,0,0
105,Ru,79,4.666666667,1,0,0,1,0,0,0,0
105,T,80,1.255144127,0,0,1,0,0,0,0,0
106,s,1,2.989712185,0,1,0,0,0,0,1,1
106,s,2,2.989712185,0,1,0,0,0,0,0,1
106,Rs,3,4.298354161,1,1,0,0,0,0,1,1
106,Rs,4,2.532922062,1,1,0,0,0,0,1,1
106,s,5,2.938271605,0,1,0,0,1,0,1,1
106,Rs,6,3.339506173,1,1,0,0,0,0,1,1
106,s,7,4.666666667,0,1,0,0,1,0,0,1
106,Rs,8,3.574074074,1,1,0,0,0,0,0,1
106,s,9,2.938271605,0,1,0,0,1,0,0,1
106,Rs,10,2.938271605,1,1,0,0,0,0,0,1
106,s,11,1.308641975,0,1,0,0,1,0,0,1
106,Rs,12,3.446502309,1,1,0,0,0,0,1,1
106,Rs,13,3.50617284,1,1,0,0,0,0,0,1
106,s,14,2.989712185,0,1,0,0,1,0,0,1
106,Rs,15,4.242798605,1,1,0,0,0,0,1,1
106,s,16,1.343621525,0,1,0,0,1,0,1,1
106,s,17,1.189300537,0,1,0,0,1,0,0,1
106,Rs,18,4.419753086,1,1,0,0,0,0,1,1
106,s,19,1.259259259,0,1,0,0,1,0,0,1
106,Rs,20,4.880658562,1,1,0,0,0,0,1,1
106,s,21,1.290123457,0,1,0,0,1,0,0,1
106,Rs,22,4.958847988,1,1,0,0,0,0,1,1
106,s,23,3.901234568,0,1,0,0,1,0,0,1
106,Rs,24,4.952675148,1,1,0,0,0,0,1,1
106,u,25,3.032922062,0,0,0,1,0,0,1,1
106,u,26,3.032922062,0,0,0,1,0,0,0,1
106,Tu,27,3.032922062,0,0,1,1,0,0,1,1
106,Tu,28,4.971193667,0,0,1,1,0,0,0,1
106,Tu,29,4.543209877,0,0,1,1,0,0,1,1
106,u,30,4.950617284,0,0,0,1,0,1,0,1
106,Tu,31,2.923868438,0,0,1,1,0,0,0,1
106,u,32,4.855967204,0,0,0,1,0,1,0,1
106,u,33,3.141975309,0,0,0,1,0,1,0,1
106,Tu,34,4.862140043,0,0,1,1,0,0,1,1
106,Tu,35,4.831275846,0,0,1,1,0,0,1,1
106,u,36,1.037037037,0,0,0,1,0,1,0,1
106,Tu,37,4.975308642,0,0,1,1,0,0,1,1
106,u,38,4.913580247,0,0,0,1,0,1,1,1
106,Tu,39,4.948559796,0,0,1,1,0,0,0,1
106,u,40,4.952675148,0,0,0,1,0,1,0,1
106,u,41,3.15843634,0,0,0,1,0,1,0,1
106,u,42,4.502057864,0,0,0,1,0,1,0,1
106,Tu,43,1.00617284,0,0,1,1,0,0,1,1
106,Tu,44,1.030864198,0,0,1,1,0,0,1,1
106,u,45,1.012345679,0,0,0,1,0,1,0,1
106,u,46,4.944444444,0,0,0,1,0,1,1,1
106,Tu,47,4.956790123,0,0,1,1,0,0,1,1
106,Tu,48,1.014403355,0,0,1,1,0,0,1,1
106,s,49,3.010288191,0,1,0,0,1,0,0,1
106,u,50,1.057613232,0,0,0,1,0,1,1,1
106,Rs,51,4.973251154,1,1,0,0,0,0,1,1
106,s,52,1.041152389,0,1,0,0,1,0,0,1
106,Rs,53,1.053498068,1,1,0,0,0,0,0,1
106,Tu,54,1.034979549,0,0,1,1,0,0,1,1
106,u,55,1.026749034,0,0,0,1,0,1,0,1
106,Tu,56,1.004115352,0,0,1,1,0,0,1,1
106,Tu,57,1.020576194,0,0,1,1,0,0,1,1
106,u,58,4.981481481,0,0,0,1,0,1,0,1
106,s,59,1.008230515,0,1,0,0,1,0,1,1
106,u,60,4.977366506,0,0,0,1,0,1,0,1
106,Tu,61,4.99382716,0,0,1,1,0,0,0,1
106,Rs,62,1.010288191,1,1,0,0,0,0,1,1
106,s,63,1.002057676,0,1,0,0,1,0,0,1
106,Rs,64,4.956790123,1,1,0,0,0,0,1,1
106,Ts,65,4.948559796,0,1,1,0,0,0,0,0
106,Ru,66,4.944444444,1,0,0,1,0,0,0,0
106,Rs,67,1.026749034,1,1,0,0,0,0,0,0
106,Tu,68,1.026749034,0,0,1,1,0,0,0,0
106,R,69,3.008230704,1,0,0,0,0,0,0,0
106,s,70,4.965020827,0,1,0,0,1,0,0,0
106,T,71,1.072016586,0,0,1,0,0,0,0,0
106,u,72,4.860082556,0,0,0,1,0,1,0,0
106,Rs,73,4.954732636,1,1,0,0,0,0,0,0
106,Ru,74,4.981481481,1,0,0,1,0,0,0,0
106,T,75,3.113168975,0,0,1,0,0,0,0,0
106,R,76,4.423868438,1,0,0,0,0,0,0,0
